company,position,companyLocation,employeePosition,employeeDepartment,title,score,createdAt,positive,negative,suggestion,atmosphere,image,workLife,career,salary,environment,teamwork,oldColleagues,leadership,workConditions,communication,equality,tasks
"deutschebahn","contractor","Dortmund, Nordrhein-Westfalen","contractor","administration","Gute Work-Life-Balance, aber Leistung zahlt sich nicht immer aus.",3.8,"2019-06-13T00:00:00+00:00","Die Arbeitszeiten waren ziemlich flexibel. Ich konnte selbst bestimmen, wie lange ich täglich arbeite.","Hochqualifizierte und leistungsstarke Zeitarbeiter wurden nicht übernommen, stattdessen konnten leistungsschwache Angestellte, die schon seit vielen Jahren dabei waren, bleiben.","Wenn möglich, auffallend leistungsschwache Angestellte nicht jahrelang \"mitschleppen\", das schadet dem Unternehmen.","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","administration","Nichts wie weg",1.3,"2017-06-15T00:00:00+00:00","Nichts.","Als Zeitarbeiter steht man dort auf der untersten Stufe (noch unter den Azubis). Das lassen einen auch alle spüren. Zudem wurde mein Einsatz als Zeitarbeiter sehr kurzfristig beendet. Freitags nachmittags wurde mir mitgeteilt, dass ich nur noch in der darauf folgenden Woche dort arbeiten dürfe.","","Es gibt keinerlei Lob. Die ganze Atmosphäre trägt dazu bei, dass man sich hier absolut nicht wohl fühlt.","Die meisten wollen einfach nur noch weg. Das Image, welches nach aussen transportiert wird, entspricht nicht dem Image intern.","Die Zeit von 8 - 16.30 Uhr muss abgedeckt sein. Als Vollzeitkraft sitzt man eigentlich immer zu dieser Zeit auf Arbeit. Bei wichtigen Terminen kann man aber auch mal später kommen o. früher gehen. Urlaub muss mit den Kollegen abgesprochen sein; mehr wie 1 Person kann nicht gleichzeitig in Urlaub gehen.","Weiterbildungen sind schon für die Festangestellten nur sehr selten drin. Als Zeitarbeiter kann man das eh vergessen.","","Deutsche Bahn halt.","Unterirdisch. Es wird nur gegeneinander gearbeitet.","Ältere Mitarbeiter sind meistens schon sehr lange im Betrieb. Neueinstellungen sind meistens eher junge Leute ohne Familie, damit diese möglichst viel Energie in die Firma stecken können.","Konfliktfälle werden gekonnt ignoriert. Entscheidungen nicht nachvollziebar. Mitarbeiter werden bei wichtigen Entscheidungen nicht einbezogen.","Nicht wirklich neuster Stand. Die PC's sind alte Mühlen, die zudem auch sehr langsam sind. Die Höhe der Tische ist nicht einstellbar. Im Büro ist immer stickige Luft, egal wie oft man lüftet.","Teammeeting werden regelmäßig angesetzt, aber auch genauso regelmäßig abgesagt. Wichtige Infos zur Arbeit muss man den anderen grundsätzlich aus der Nase ziehen.","Aufstieg wird nach Nase vergeben.","Die Arbeitsbelastung ist für alle gleich hoch. Man hat einen Zeitrahmen, in dem bestimmte Arbeiten fertig sein müssen. Den Rest kann man sich halbewegs alleine aufteilen."
"deutschebahn","contractor","Dortmund, Nordrhein-Westfalen","contractor","other","Mehr Schein als Sein",2.5,"2019-06-03T00:00:00+00:00","Die Mitarbeiter","Die Führungsebene","Mitarbeiter mehr Wertschätzen.<br/>Sich mal Fragen warum gute Mitarbeiter das weite suchen.","Die Arbeitsatmosphäre war verhältnismäßig gut. Es sind leider viele gute Leute gegangen die den Laden beisammen gehalten haben.","Wer die Medien verfolgt und meine Überschrift gelesen hat sollte Bescheid wissen.","Die Schichtpläne sind zum Teil katastrophal, wurden aber zum Teil verbessert.<br/>Wochenendarbeit alle 2 Wochen ist als Mitarbeiter in der Instandhaltung Standard.","Alles nur durch Eigeninitiative. Wer erwartet das die DB von alleine auf einen zukommt und einem Mitarbeiter was anbietet ist hier fehl am Platz. Lehrgänge dienen eher dem Konzern, sodass der Kollege mehr machen darf.","Gehalt der Zeitarbeit ist mit der Equalpay-Zulage annehmbar. Die Mitarbeiter mit denen ich zutun hatte waren jedoch, bis auf ein paar Ausnahmen, unzufrieden mit ihrem Gehalt.<br/>Ausserdem gibt es auch noch Unterschiede von Standort zu Standort was dazu führt das man sich ungerecht behandelt fühlt.","Wenn es zu Kontrollen kommt wird eine kurze Zeit danach darauf geachtet und kontrolliert, aber das verflüchtigt sich auch wieder schnell. Zum Thema Sozialbewusstsein kann ich nur sagen das man sich versucht als guten Samariter darzustellen der ja Zeitarbeitern die Möglichkeit gibt in den Konzern zu treten. Wenn man ein Ja-Sager ist und ein Arschkriecher kommt man auch weiter.","Die Mitarbeiter untereinander haben ein sehr kollegiales Verhältnis zu einander.<br/>Selten ist es der Fall das einem gar nicht geholfen wird, oder man bei etwas in Stich gelassen wird.","Die \"alte Schule\" versucht einem immer was beizubringen.","Unkooperativ sein und falsche Hoffnungen machen, das können die.","Die Arbeitsbedingungen sind ok. Es wird ständig versucht etwas zu optimieren, manchmal führt das auch zu \"verschlimmbesserungen\".","Wer das Gespräch sucht kriegt dieses normalerweise auch, die passende Antwort jedoch sehr selten. Man versucht viel um den heißen Brei zu reden und wird mit billigen Ausreden bei Stange gehalten.","Wenn einem die Nase nicht passt bekommt man in diesem Betrieb garnichts!","Durch die ständigen Veränderungen des Regelwerks kommt man an abwechslungsreiche Arbeit."
"deutschebahn","contractor","Bodenheim, Rheinland-Pfalz","contractor","research","Nur solange mann gebraucht wird, ist mann freudlich.....",2.6,"2019-02-27T00:00:00+00:00","offenes Ohr für Gespräche","Keine Weiterbildug, kein frühzeitiges Erkennen von Verschlechterugen beim Kunden bei dem mann eingesetzt wird. Keine frühzeitige Umstruckturierung.","Frühzeitige Weiterbildungen und nicht wenn das Projekt zu Ende geht, die MA´s entlassen!!!","zwar ganz OK, jedoch hat mann mit der Firma nur zum Zahltag Berührung","","ganz OK","nur wenn es für den Job benötigt würde, sonst leider keine Möglichkeit sich weiterzubilden","muss sich teuer verkaufen, da wenn mann nicht mehr benötigt wird, die Kündigung kommt....","","da Arbeitnehmerüberlassung sieht mann die Kollegen höchstens mal zur Weihnachtsfeier","keine Vorhanden","Kommunikation könnte besser sein","bei Kunden waren sehr gute Arbeitsbedingungen","keine Newsletter, etz...","ist gegeben","Arbeitnehmerüberlassung halt..."
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Ich war Zeitarbeitnehmer über Rannstad dort, von den die mit mir angefangen waren haben am Ende nur noch 2 gearbeitet!",1.9,"2019-02-08T00:00:00+00:00","","Einseitige Darstellungen nicht immer hören sondern mehrere Meinungen hören, bevor man urteilt.","Das Führungspersonal besser auswählen und mal mehr Meinungen einholen.","Typisches Callcenteratmosphäre, Großraumbüro mit Boxenschreibtischen. Keine Möglichkeit zu lüften. Intrigenspiel von einigen Mitarbeiterinnen.","Aus Kundensicht schlecht, aus Arbeitnehmersicht nicht besser","Kaum Freizeit. Trotz Leiharbeiter und 30 Stunden Kraft Überstunden ohne Ende!","Nicht wirklich viel möglich aufzusteigen.","Mindestlohn plus 1,69€ Aufschlag. Überstunden wurden auf das Zeitkonto der Zeitarbeitsfirma übertragen die nicht ausgezahlt wurden.","","Im Grunde ganz gut. Bis auf zwei Intrigante Mitarbeiterinnen mit Führungsanspruch.","Umgang mit jüngeren und Quereinsteiger ist hier eher das Problem.","Unsere Teamleiterin war nett, wurde dann aber krank so das ihre Stellvertreterin übernahm, diese die Intregant war und letzten Endes für Ende meiner Beschäftigung sorgte.","Viele Überstunden und ständige Wechsel der Schichten.","Probleme und Wünsche wurden wenig bis garnicht berücksichtigt. Statt mit dem Arbeitnehmer zu sprechen bei Probleme wurde nur auf einzelne Mitarbeiter gehört!","","Nein, da sich es immer wiederholte."
"deutschebahn","contractor","Berlin, Land Berlin","contractor","recruiting","Endstation Personalgewinnung & -marketing",2,"2018-12-19T00:00:00+00:00","Sozialleistungen und Gehalt","permanentes Hoffnung-machen auf einen Festvertrag. Nachdem man dann verheizt ist bzw. deren Hilfe nicht mehr gebraucht wird, kann man schön seine Sachen packen. Überall winkt die DB mit Festverträgen, doch die Leute, die diesen enormen Personalgewinnungs- und marketing-Aufwand stemmen, gucken in die Röhre.","Keinesfalls Mitarbeiter über die Zeitarbeit für die Personalgewinnung und das Personalmarketing anstellen, weniger Überstunden, mehr Work-Life-Balance","permanenter Druck, Überstunden, Stress, Konkurrenz","internes Image der Personalgewinnung ist ausbaufähig","junge Leute werden gnadenlos verheizt","","zufrieden","","schwierig, da unter Zeitarbeitern massiver Konkurrenzdruck lastet, ansonsten gut","","überfordert","andauernde Befristungen, Verlängerungen immer nur ein paar Monate","nahezu überflutender Informationsfluss","Zeitarbeiter und Festangestellte werden nicht gleichberechtigt. Zeitarbeiter werden benachteiligt und gehören im Grunde genommen nicht zum Unternehmen","interessant aber anhand statistischer Daten berechnet und daher absolut unrealistisch"
"deutschebahn","contractor","Wuppertal, Nordrhein-Westfalen","contractor","operations","Arbeiten wie vor 30 Jahren",1.4,"2018-12-13T00:00:00+00:00","","","","","","","","","","","","Teamleiter muss offen mit den Mitarbeiter reden und lockerer werden.","","","",""
"deutschebahn","contractor","München, Bayern","contractor","recruiting","Toller Arbeitgeber",3.2,"2018-09-17T00:00:00+00:00","Interessanter Job ! Tolles Unternehmen","Einzelne Führungskräfte benötigen mehr Unterstützung für sich selbst","Die Unternehmensziele sind toll! Bitte auch selbst vorleben !","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","it","Zeitverschwendung",1.2,"2018-08-03T00:00:00+00:00","Nichts","","Verbesserungsvorschläge stoßen bei dem Verein auf konservative Ignoranz","Trostlos","","","Nicht vorhanden","Nicht ausreichend","","Nicht vorhanden","","Unprofessionell","","Viel sinnloses Gerede, nicht wirklich zielführend","Nicht vorhanden","Nicht vorhanden"
"deutschebahn","contractor","München, Bayern","contractor","recruiting","Steig ein - Fahr mit...Willkommen du passt zu uns!!! (wird so gelebt)",4.9,"2018-04-05T00:00:00+00:00","Jobticket, Mitarbeiterkonditionen, Sportangebote, Homeoffice, sehr nette Kollegen bundesweit","","Tarifvertrag überarbeiten (nach Bundesland und Region unterscheiden)","","","von Vollzeit auf Teilzeit gewechselt- wurde sofort zugestimmt","","","","mega kollegial","","","ist im Moment schwierig, da Platz fehlt, aber es wird alles mögliche unternommen, um das Arbeiten angenehmer zu gestalten (Platzzuwachs erfolgt in Kürze)","","",""
"deutschebahn","contractor","Hanau am Main, Hessen","contractor","recruiting","Fast schon unmenschlich! Die schlimmste Arbeitserfahrung, die ich je hatte!",1.9,"2017-12-14T00:00:00+00:00","","","Die DB ist ein toller Arbeitgeber, die DB Zeitarbeit ebenso!","Die Arbeitsatmosphäre war durchweg stressig. Jeder ist gestresst. Als neuer Mitarbeiter wird man eher halbherzig empfangen. Es wird immer hochgepriesen, dass Fragen gestellt werden sollen, doch die Reaktion auf diese Fragen wirkte eher einschüchternd. Die Mitarbeiter waren alle nett, die Arbeitsweise und der Umgang lies zu wünschen übrig.","","Gleitzeit","","Sozialleistungen der Bahn sind Top! Die DB Zeitarbeit zahlt auch gut.","","Sehr egoistisch. Jeder Mitarbeiter denkt an sich selbst und ist sich für fast jede Hilfestellung zu Schade.","","Katastrophal. Keine Kommunikation, keine Wertschätzung, nichts!","","Kommunikation existierte erst gar nicht. Fehler wurden immer erwähnt, Feedback gab es nie. Positives Feedback schon gar nicht!","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","communication","Interessante Aufgaben, aber wenig Abwechslung",3.8,"2017-11-14T00:00:00+00:00","Gute Sozialleistungen, nicht so viel Leistungsdruck. Lebnsnahe Kommunikation. Anspruchsgruppen haben Interesse an Themen.","Zu wenig Diversität. Teilweise sehr unmoderne Arbeitsweisen. Viele ateingesessene.","Karriere mehr fördern, besser Information der MItarbeiter über Veränderungen. Weniger ausspielen. Strukturen vereinfachen und Hierarchien abbauen. Mehr Diversität.","","","Gleitzeit","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","controlling","Ein Unternehmen mit Zukunft",4.8,"2017-10-17T00:00:00+00:00","Das Unternehmen ist sozial, Kinder- und Arbeitszeitenfreundlich. Gerechte Entlohnung und viele Weiterentwicklungsmöglichkeiten runden das Profil ab.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Leiharbeiter werden wenn ürgend was nicht passt auf falschaussagen rausgekickt",3.6,"2017-05-29T00:00:00+00:00","freundlich","hinterlistig","sagt Euro Meinung gleich an jemand","Top Fima eigentlich","","","","","","gut","","","","","Haben wohl was gegen schwerbinterte Menschen",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Tolle Chance, um in den Konzern zu kommen!",4.8,"2017-01-26T00:00:00+00:00","Da man Einblicke und den 1. Fuß in die Tür des Konzerns bekommt. Ich gehe wieder sehr, sehr gern zur Arbeit! :) Und wenn ich Glück habe, werde ich im Konzern übernommen!","Der Bewerbungsprozesse, bzw. die Rückmeldungen auf Bewerbungen sollten etwas schneller laufen! :)","Puh! Da fällt mir nichts ein.","Das Betriebsklima ist top! Ich fühle mich sehr wohl und wertgeschätzt.","Das Image der Zeitarbeit? Also normale Zeitarbeitsfirmen boykottiere ich! Die DBZ ist wirklich nicht verkehrt ;-)","Ist hier definitiv gegeben! Ich habe Gleitzeit und kann mir Überstunden sowohl auszahlen lassen, als auch als Zeitausgleich nehmen.","Sämtliche Seminare die ich benötigte, wurden von der DBZ bewilligt, diese waren nicht günstig. Also Weiterbildung ist hier absolut gegeben.","Wie das bei einer Zeitarbeit eben ist, geht ein gewisser Teil des Gehaltes dort hin. Allerdings muss ich sagen, dass ich trotzdem ganz gut verdiene! :)<br/>Ich hatte ja diesbezüglich erst skrupell ggü. Zeitarbeit.","Darauf wird geachtet, man arbeitet auf \"das papierlose Büro\" hin.","Die Kollegen unter einander sind sehr freundlich und gut gelaunt. Bei Problemen muss man ab und an mal nachhaken, aber dann bekommt man recht schnell zu einer Lösung.","Kollegen jeden Alters werden sehr geschätzt. Meine Lieblingskollegin ist fast 60 und hat wahnsinnig viel Ahnung, dazu ist sie noch eine ziemlich coole Socke! ;-) Und das sehe nicht nur ich so!!! :)","Meine Vorgesetzte meldet sich öfters bei mir und verteilt auch mal Lob.","Da dies nicht mein erster Arbeitgeber ist, bilde ich mir ein, dies gut bewerten zu können. Die Ausstattung der Büros ist nach dem neusten Stand der Technik. Auf Ergonomie wurde geachtet und es fehlt an nichts.","Die Kommunikation funktioniert ziemlich gut, da war ich selbst überrascht. Ich kenne das auch anders ;-)","Na wie das so ist, haben Männer die besseren Chancen. Aber wo hat man das bitte nicht?","Die Aufgaben sind interessant, so wie ich mir das vorgestellt habe. ich habe meinen eigenen Verantwortungsbereich, man vertraut mir! Das finde ich toll."
"deutschebahn","contractor","Nürnberg, Bayern","contractor","controlling","Bin sehr zu Frieden",4.8,"2016-12-11T00:00:00+00:00","Ich beklage mich nicht. Die Leistungen, die Vielfältigkeit der Arbeitsmöglichkeiten und das Kollegium sind super. Viel wird einfach nur auf hohem Niveau gejammert.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Guter Arbeitgeber",4.9,"2016-12-06T00:00:00+00:00","sehr gut unter der Stammbelegschaft aufgenommen und gerecht die Arbeit verteilt.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Brandenburg","contractor","product","Sehr freundliches und offenes Gespräch",4.5,"2016-09-02T00:00:00+00:00","Jeder bekommt eine Chance, sehr moderne Arbeitsstrukturen","leider arbeite ich hier nur über die DB Zeitarbeit","mich in ein festes Arbeitsverhältnis übernehmen ;-) ansonten alles gut vielleicht etwas weniger Fluktuation im Personal","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","","Der Arbeitgeber will das alles klappt",3.8,"2016-07-11T00:00:00+00:00","Es gibt Rabatte und es macht Spaß","Es gibt hier gar keine Nachteile.","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","","Ee ist der netteste Arbeirgeber den ich hatte, er ist sehr angagiert und ist stets hilfbreit, falls man...",2.8,"2016-06-26T00:00:00+00:00","Das Gehalt und das arbeitsklima","Es gibt keine Nachteile bei meinem Arbeitgeber","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Sicht eines ehemaligen Zeitarbeiters, der bei DB Dialog angestellt war",3.8,"2015-09-08T00:00:00+00:00","Toller Umgang der Vorgesetzten mit den Mitarbeitern. Coachings. Offenes Ohr für Probleme. Nicht schlechte Bezahlung. Gute Arbeitsvorbereitung","Keine Übernahme von guten Arbeitskräften. Befristete Verträge laufen einfach aus. Zeitarbeiter sind lieber gesehen als normale Arbeitsverträge. Keine Vollzeitverträge. Sehr restriktive Kundenhilfe","","","","","","","","","","","","","",""
"deutschebahn","contractor","Mainz, Rheinland-Pfalz","contractor","administration","Die Festung DB Netz",2.2,"2014-11-29T00:00:00+00:00","Das Zeitkonto und die flexible Arbeitszeit! Starke AN interessenvertretung und viele Schutzregeln in den Tarifen.","Permanente Überwachung und Kontrolle, Arbeitsleistung zählt Null, nur Kontakte zu einfllussreichen Kollegen. Zu viele Hierachie-Ebenen, Psycho- und Mobbing Spiele. Hinhalte- und Überfalltaktik des Personalers, viel gerede, wenig dahinter. Reaktionärer Geist.","Fazit: für ältere Menschern zu empfehlen, jüngere nur bedingt. Die Arbeit ist sehr wiederholend und wird schnell langweilig, womit sich automatisch Fehler einschleichen. Hinhaltetaktik seitens des Personalers mit Übernahme etc. Einfach den BR kontaktieren, er ist hilfsbereit und für einen da.","DB Netz ist schwerfällig wie eine Behörde, langsam und behäbig, es wird vieles erzählt und leider Ziele aus den Augen verloren. Man verbringt lieber viel Zeit damit, (vermeintliche) Fehler von Kollegen ausfindig zu machen, die genüsslich im Gespräch mit dem Personaler präsentiert werden. Auf Grund der Quasimonopolistischen Stellung und des massiven Steuerzuschusses, ist man nicht auf ein geringes Budget angewiesen.","Direkte S-Bahn Anbindung an den Bhf „Römisches Theater“; 2 Kantinen im Haus, allerdings als externer Leiharbeiter zahlt man einen 70-100%-igen Aufschlag. KEIN Internetzugang, aber dafür umfangreiches DB Intranet. Gearbeitet wird mit dem MS Office Paket, was teils zu Verzögerungen führt, da die Server in Berlin sitzen.","Großes Lob verdient das interne Zeitkonto – Überstunden können nach Wunsch in freie Tage ausgeglichen werden, der Arbeitsrahmen ist von 6 – 20h überaus flexibel. Dies verdient großes Lob. Ebenso die innerbetriebliche Mitbestimmungsmöglichkeiten mit festem Betriebsrat (der allerdings in der Zentrale in FFM sitzt) sowie vielen Betriebsvereinbarungen und Tarifverträgen bilden eine große Sicherheit für die AN.","Auf Grund interner Tarifes ist es nicht möglich, einfach dort von der externen Zeitfirma übernommen zu werden, man benötigt den Weg der internen Zeitfirma. Redet man vielen einflussreichen Personen nach dem Mund, sichert das die eigene Position. Das Gehalt der internen Zeitfirma ist deutlich geringer als das der externen. Externe Bewerber für eine freie Stelle stehen erst auf dem 7. Platz, vorher müssen alle anderen \"versorgt\" werden. Demographie TV sei Dank. Dies stellt Lohndumping dar.","Gehälter sind schlecht, dafür ist die Sicherheit sehr hoch. Dank Tarif wird sehr vieles bins ins kleinste Detail. Auch externe Leiharbeiter erhalten nach einem Jahr Equal Pay - allerdings auf der untersten Gehaltsstufe. Bahninterne Leiharbeiter sollen nach 18 Monaten übernommen werden, daher stets Druck machen.","Vieil Blabla, nix dahinter!!","Dieser Punkt ist schwierig zu beschreiben – 70% der Kollegen sind verbeamtet und deutlich über 50 Jahre alt. Mit diesen Menschen ergibt sich ein sehr starker Zusammenhalt und angenehmes Arbeiten. Oftmals erzählen sie einen Plausch von früher. Auf Grund des Beamten Status sind sie unkündbar und genießen dadurch viele Freiheiten. Von den jüngeren, karriereorientierten Kollegen gibt es teilweise viel Widerspruch, auch neigen sie zu Mobbing. Besonders häufig, wird hinterm Rücken des Kollegen beim Teamleiter gepetzt, ohne das mit dem Kollegen vorher gesprochen wird. Hervorzuheben ist die unterste Leiter Hierarchie Ebene, deren Verhalten durch Mobbing und Schikane, welches zur Entlassung einiger Kollegen führte, völlig verhaltensabnorm reagieren um ihre Minderwertigkeitskomplexe zu negieren.","Stellen ja die Mehrheit da, also ist der Umgang schon ok.","Die Teamleiter sind stark mit Aufgaben überlastet und holen sich Informationen von einzelnen Kollegen, die teilweise sehr viel Einfluss auf die Teamleiter besitzen. Die Teamleiter sind argumentativ einfach zu überreden und nicht immer die intelligentesten.","Der Arbeitsplatz ist soweit Ok. Alle Büros haben Türen, mit einer großen Glasscheibe. Im vorderen Trakt sind die Trennwände der Bbüros allerdings kpl. aus Glas, und die Türen aus Holz, was zu starker Überwachung und führt.","Hier sollte man Null Punkte geben. Es gibt keine offene Kommunikation, ausser man ist bereits seit Jahren dabei und hat sich bewährt. Ansonsten gibt es 2 Kommunikatiosstrategien - die \"Überfalltaktik\", man wird wenn man nicht mit rechnet, einfach ins Büro gerufen wo man wehrlos \"gegrillt\" wird, oder die \"Hinhaltetaktik\", Versprochenes wie Prämien, Übernahme etc. werden Wochen und Monatelang hinausgezögert.","Eher Männerorientiert, aber das passt zur Bahn.","Ist anfangs Interessant, aber leider irgendwann nur noch langweilig. Auf Verbesserungsvorschläge wird nicht reagiert. Da auf Grund der Monopol Stellung der Wettbewerb am Markt fehlt, werden interne, künstliche Konflikte geschürt. Leidtragende sind dabei die Leiharbeitskräfte."
"deutschebahn","contractor","München, Bayern","contractor","research","Warum nennt man das Forschungs- & Entwicklungszentrum der Deutschen Bahn AG in Freimann konzernintern \"Das Sanatorium\"?",2.1,"2014-07-23T00:00:00+00:00","Seit ich bei der Deutschen Bahn gearbeitet habe, freue ich mich immer, wenn ich einen Zug fahren sehe - nach den dortigen Erfahrungen kann ich mir nämlich gar nicht vorstellen, daß das überhaupt sein kann!","Wenn man dort einmal ein paar Wochen gearbeitet hat, dann wird einem plötzlich sonnenklar, warum der Konzern permanent in den roten Zahlen steckt.","Alte, wuchernde Hierarchien ausmisten. Überflüssiges Personal im großen Stil abbauen. Neue Ideen zulasen","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","DB Dialog GmbH - ein einziger Einsatz dort reicht!",1.3,"2014-01-18T00:00:00+00:00","","Körperlich und geistige Höchstanforderungen unter schlechten Arbeitsbedingungen und unflexiblen Arbeitszeiten, die durch irgendeine Personalabteilung ohne Rücksicht auf Familie, Kinder oder private Lebensumstände einfach festgesetzt werden; dies alles bei schlechtem Entgelt, durch welches es auch bei Vollzeit nicht möglich ist, sich selbständig und ohne staatliche Hilfe zu ernähren. Ein schlechtes Arbeitsklima durch unqualifizierte Teamleitung tut sein übriges dazu. Einzig positiv ist die in Berlin zentrale Lage - mehr nicht. Das reicht nicht aus, den Job gerne zu machen, geschweige denn, gerne hinzugehen.","Verbesserung wäre nur durch umgehend grundlegende Strukturveränderung möglich - was aber nicht funktionieren wird, da die DB an alteingebrachten Sitten und Gebräuchen festhält, was sich im Umgangston mit den Mitarbeitern bemerkbar macht.","kein gutes Arbeitsklima, da sekundengenau an- und abzumelden; jeder Sachbearbeiter arbeitet für sich alleine","Unternehmen meinerseits mit schlechtem Image; Weiterempfehlung kommt nicht in Frage","Es gibt nur \"work\" - ein Leben für die Verspätungen der DB; private Problematik oder Erkrankung zählt nicht","Karriere keine, da nur über Zeitarbeit; weitergebildet wird derzeit nur zwischen hausinternen Abteilungen durch extrem knapp kalkulierte Schulungen, die den Arbeitsanforderungen im Gesamten nicht gerecht werden","Mitarbeiter zu 80 % durch Zeitarbeit; Bezahlung für diese sehr anstrengende Tätigkeit außerordentlich schlecht. Bei Übernahme seitens DB Dialog liegt die Bezahlung 10 % höher; Vollzeit ist nicht möglich","","gibt es nicht, braucht man aber auch nicht","respektloser Umgangston mit älteren Arbeitskräften seitens der verhältnismäßig jungen Teamleitung","inkompetentes Führungspersonal nach althergebrachten Mustern","PC-Displays sind extrem aggressiv für die Augen bei permanenter Benutzung (aber das ist ja das Aufgabengebiet: Beantwortung von Beschwerden usw.); Pausen müssen sekündlich eingehalten werden; Essen am Arbeitsplatz (auch ein Bonbon oder Stück Apfel) ist strengstens verboten, Trinken von Kaffee oder Tee nur im verschlossenen Thermobecher, Wasser DARF aus einem Glas - ansonsten NICHTS!); Bestuhlung ist schlechtes Mittelmaß","Kommunikation findet nur statt, um die zu langen Prozeßzeiten zu diskutieren und die schlechte Qualität der Bearbeitung darzulegen","männlichen Kollegen wird bevorzugt Hilfestellung bei Fragen zur Bearbeitung zuteil","immer dasselbe: Zugeverspätungen recherchieren und Gelder an den Fahrgast zurückerstatten (Abt Fahrgastrechte)"
"deutschebahn","contractor","Berlin, Land Berlin","contractor","operations","Schlechter Ruf der DB Service bestätigt",2.2,"2012-11-11T00:00:00+00:00","","","","Die Arbeitsatmosphäre ist insgesamt notenspezifisch nur als ausreichend (4) zu bewerten. Es wird kommuniziert, eine gute Arbeitsatmosphäre zu wollen, aktiv wird jedoch nichts dafür gemacht.","Die meisten Mitarbeiter reden negativ über das Unternehmen.","Urlaub wird nicht gerecht bewilligt. Wer hier schleimt, kommt diesbezüglich ans Ziel.","","Das Gehalt lässt zu wünschen übrig. Aber wer sagt, dass Banken Verantwortung übernehmen wollen.","Es gibt für den Hausmüll die Vorrichtung einer Mülltrennung, aber die Reinigungskraft schmeißt alles wieder in eine Tüte zusammen.","Der Kollegenzusammenhalt ist als sehr oberflächlich zu bewerten. Offiziell fühlt man sich als gutes Team, hinten rum wird jedoch viel gemobbt. Insgesamt ist der kollegiale Zusammenhalt sehr oberflächlich.","","Die meisten Teamleiter haben dort wenig Ahnung von dem, was sie da machen. Das liegt daran, dass die Position nicht nach dem Können vergeben wird, sondern dem internen Buschfunk zufolge nach der Mitgliedschaft des hauseigenen Fußballclubs. Das macht sich dann bemerkbar, wenn etwas Außergewöhnliches eintritt und sie gefordert sind. Zudem werden Zusagen/Versprechen oftmals nicht eingehalten und das Ganze dann ausgesessen. Es folgt keine Entschuldigung oder Sonstiges, etwa im Rahmen eines Gesprächs.","","Neue Information kommen nur schwer bei den einzelnen Mitarbeiter an. Alles wird nur ein paar Mitarbeitern in der Raucherlounge mitgeteilt. Nichtraucher müssen sich ihre Informationen selbst beschaffen.","Es sind fast nur Frauen dort","Interessante Aufgaben sind nicht vorhanden. Alles ist in Prozessen zusammengefasst und erscheint daher sehr langweilig. Eine Bankausbildung wird hier nicht mehr benötigt."
