company,position,companyLocation,employeePosition,employeeDepartment,title,score,createdAt,positive,negative,suggestion,atmosphere,image,workLife,career,salary,environment,teamwork,oldColleagues,leadership,workConditions,communication,equality,tasks
"deutschebahn","contractor","Nürnberg, Bayern","contractor","other","Glück gehabt",4.8,"2020-05-13T00:00:00+00:00","er hat frühzeitig die Mitarbeiter ins Home Office geschickt.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Hannover, Niedersachsen","contractor","other","Bin sehr zufrieden im Geschäftszweig Db Netz/Zeitarbeit",4.6,"2020-04-29T00:00:00+00:00","Desinfektionsmittel u.sonstige Hygieneartikel werden zeitnah beschafft.","","Keine Vorschläge","","","","","","","","","","","","",""
"deutschebahn","contractor","Fulda, Hessen","contractor","other","Totale Ausnutzung der Leiharbeiter",1.2,"2020-04-01T00:00:00+00:00","","","","","","","Leiharbeiter, welche sich wirklich einbringen und mit denen auch direkte Vorgesetzte sehr zufrieden sind, haben keinerlei Möglichkeit auf Festanstellung! Nach Ablauf der Mindestüberlassungsdauer werden die meisten wieder nach Hause geschickt!","","","Es besteht leider keine direkte Kommunikation, dafür aber sehr viel Unehrlichkeit und Lügerei!","","Schlechteste Werkleitung ever, Großteil der Entscheidungen entstehen aus Vetternwirtschaft!!!","","So gut wie nicht vorhanden","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","other","Es könnte eines der besten Unternehmen sein wenn....",2.9,"2020-03-24T00:00:00+00:00","","","Reflektieren und lernen was wirklich wichtig ist!","Der Betriebsrat, Vorgesetzte die über die Führungskräfte stehen sollte die Augen öffnen und etwas Unternehmen. Es kann nicht sein, dass alles toleriert wird.","Es könnte eins der besten Unternehmen sein, aber dafür müssten manche Führungskräfte ausgetauscht werden oder in einer absoluten Transformation gehen. Die Zahlen sollen sicherlich Stimmen aber mehr Menschlichkeit, Echtheit, Aufrichtigkeit, Authentizität ist das was uns weiter bringt. Ein Unternehmen besteht nicht nur aus Führungskräften.<br/>In bestimmten Abteilungen würde ich das Unternehmen an Freunde und bekannte weiter empfehlen","Die Zeitarbeiter werden in manchen Abteilungen definitiv anders behandelt. Home Office erst nach einem Jahr Einarbeitung. Die festen Mitarbeiter dürfen nach 3-6 Monaten ins Home Office. Gleichbehandlung wird hier ganz groß geschrieben.","Die Meisten Kollegen arbeiten seit Jahren auf ihrem Posten. Der Wachstum innerhalb des Unternehmens leider sehr schwer.","Kann man mit leben.","Hier werden Mitarbeiter am liebsten ohne Kinder eingestellt. Irgendwann bekommen die neuen Kollegen aber auch Kinder. Auch dieses Unternehmen sollte verstehen, dass Kinder unsere Zukunft sind. Auch wir waren mal Kinder...","Aus Kollegen können Freundschaften entstehen. Diese sollte man mit bedacht wählen, sonst kann man zwischen Freund und Feind nicht unterscheiden. In manchen Abteilungen wird vom Tratsch gelebt. Sehr schlimm, denn man weiß nie wo die Gefahr lauert. Aber hey alle sind miteinander super freundlich. Gemeinsam Mittagessen, scheinheilige Freundschaften wie im Bilderbuch. Jeder der die Illusion liebt ist hier wilkommen !","Kommt darauf an in welchen Abteilungen","Drei Sterne gibt es nur weil, die Schauspielkünste mancher Führungskräfte fast einen Oskar verdient hätten. Man weiß nie woran man ist.<br/>Sollte es eine Führungskraft aus unbekannten Gründen auf einen abgesehen haben, so braucht man sich in anderen Abteilungen nicht bewerben. Man hat keine Chance !<br/>Die festen Mitarbeiter sind angehalten, nebenbei neue Kollegen einzuarbeiten. Wenn die Zeit gekommen ist erhält man die Ehre die Nachfolger einzuarbeiten um mit gutem Gewissen das Unternehmen verlassen.<br/><br/>Zusammenhalt und Harmonie unter Kollegen ist in manchen Abteilungen nicht erwünscht.<br/>Die Qualität der gelieferten Arbeit zählt hier nicht. Softskills sind nur auf dem Papier interessant.<br/><br/>Die Vorgesetzten der Führungskräfte werden über solche Dinge informiert aber es wird viel zu spät reagiert.<br/>Ich habe leider einige excellente Kollegen gehen sehen...","schöne Büros und eine super Infrastruktur","Hier sind leider die wenigsten ehrlich. Sehr oberflächliche Kommunikation.<br/>Ausnahmen gibt es überall und genau diese sollte man wählen.","DB Zeitarbeiter werden von manchen Führungskräften hier anders behandelt.","Meinen Job habe ich geliebt. Ein Mix aus Herausforderung und viel Abwechslung im Tagesgeschäft. Für mich genau das Richtige. Deshalb habe ich stets mein bestes gegeben um die besten Ergebnisse zu liefern."
"deutschebahn","contractor","Dortmund, Nordrhein-Westfalen","contractor","operations","An alle Ja-Sager und Schleimer, herzlich willkommen.",3,"2020-01-29T00:00:00+00:00","Wenn man einmal drin ist, hat man, denke ich mal, kein schlechtes Leben. Man kann sich durch Leistung und Engagement zumindest ein wenig profilieren und wenn man dann auch noch lieb ja und Amen sagt kriegt man auch gut und gerne mal eine andere Stelle.","Die Vorgesetzten (nicht alle) die sich aufspielen, weil sie am längeren Hebel sitzen.","Mehr auf das hören was die Mitarbeiter zu sagen haben. Das sind die Leute, die euren Laden am laufen halten.","Die Teamkollegen machen den Arbeitsalltag erträglich.","Trotz aller Bemühungen leidet die Deutsche Bahn weiterhin und man versucht noch zu retten was zu retten ist.<br/>Wer die Medien verfolgt weiß welches Image die Bahn hat.","24/7 365 Tage im 3-Schichtsystem. Hinsichtlich der Schichtplanung wurden zu meiner Zeit ein paar Verbesserungen eingeführt die sich zum Wohl aller positiv auf die Mitarbeiter ausgewirkt haben. Das hat aber leider auch seine Zeit gedauert!","In meinem Fall wurden mir keine Weiterbildungen angeboten. Meine eigenen Bemühungen haben leider auch nichts ergeben.","Mein Gehalt als Zeitarbeiter war nach einem 1. Jahr, dank Equal Pay, meiner Meinung nach ganz gut. Der Zeitarbeitsfirma mache ich hier keine Vorwürfe.","Man versucht das Image der Bahn natürlich grüner zu gestalten. An sich wird versucht auf Mülltrennung zu achten und auch zu kontrollieren. Meiner Meinung nach gelingt das nur bedingt wegen der Mitarbeiter die sich nicht darum scheren wo nun ihre Plastikbecher landen.","Meine Teamkollegen und Mitarbeiter waren der Hauptgrund warum ich täglich gerne zur Arbeit gegangen bin. Diese haben sich auch, nachdem bekannt wurde, dass es für mich nicht mehr weiter geht, sehr stark für mich eingesetzt und mit aller Kraft versucht eine Übernahme für mich raus zu holen. Ohne Erfolg.","Auf ältere Mitarbeiter wird Rücksicht genommen.","Also das war ja mal, zumindest in meinem Fall, unter aller Sau!<br/>Ich wurde nur hingehalten und klein gehalten. Die Entscheidung über mich war vermutlich schon lange getroffen worden, aber für die Drecksarbeit war ich noch gut genug.<br/>Mir hat man vorgeworfen keine Leistung erbracht zu haben und im gleichen Atemzug gesagt das ich meine Arbeit bisher gut gemacht habe. Ja was denn nun?!?","Die Arbeitsmittel und Werkzeuge die einem zur Verfügung gestellt werden sind im großen und ganzen in Ordnung. Jedoch wird oft keine Rücksicht genommen und Werkzeuge falsch eingesetzt was diese unbrauchbar macht. Wenn etwas kaputt geht muss man das melden. Der Prozess bis etwas repariert wird ist langwierig.","Der kleine Mann am Ende der Nahrungskette erfährt vieles erst zum Schluss.","Nicht viele Frauen, aber alle werden respektvoll behandelt und Diskriminierung und Reduzierung auf das Geschlecht werden in keinem Fall geduldet. Kam aber während meiner Zeit nicht einmal vor.","Als Zeitarbeiter wirst du größtenteils für die Tätigkeiten eingesetzt, die keiner machen möchte. Trotzdem wirst du auch z.B in kleine Helfertätigkeiten involviert und man hat eine gewisse Abwechslung drin und macht nicht jeden Tag das gleiche."
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","other","Durchschnittsverdienst i angenehmer Atmosphäre",3.8,"2020-01-20T00:00:00+00:00","Kümmert sich um die Gesundheit Mitarbeiters","Schlechter Kontakt zum Chef und dem Büro.","Verbessern Się den Kontakt mit den Chef und dem Büro","","","","","","","","","","","","",""
"deutschebahn","contractor","Karlsruhe, Baden-Württemberg","contractor","other","mittelwertig",2.5,"2019-12-09T00:00:00+00:00","freundlich meistens","freundlich--> aber verarscht!","es sollen bitte hier keine Milchbubies eingestellt werden! sondern die hinter seine Worte stehen können!! --> als Arbeitgeber","kein Teamarbeit","","","","","","es wird hier nur über jeden rumgelästert","","nur am jammern!","","ich bekomme meine Fragen meistens beantwortet","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","recruiting","Toller Arbeitgeber",4.1,"2019-11-14T00:00:00+00:00","","","","","","","","","","Es werden auch private Termine für gemeinsame Aktivitäten gemacht.","","","","Die Kommunikation ist sehr toll. Ich kann immer mit Fragen kommen und mir wird sofort geholfen.","",""
"deutschebahn","contractor","Witten, Nordrhein-Westfalen","contractor","other","Möchtegern Führungskräfte, Standort existiert nur, weil Vater Staat immer wieder Geld in den DB Konzern pumpt...",2.3,"2019-10-31T00:00:00+00:00","Ehrlich? Ich dachte es wäre die Konzerngröße und das Vater Staat die Kasse aufmacht, aber die verhindert wahrscheinlich, dass sich das Unternehmen entwickelt.<br/><br/>Gibt es was gutes? Der Zusammenhalt in der Produktion und das ankämpfen gegen die Vorgesetzten (Haltet durch, wenn Ihr Glück habt, seit ihr in Rente bevor es euch psychisch erwischt).","- möchtegern Führungskräfte<br/>- möchtegern Transparenz<br/>- möchtegern OPEX<br/>- schwammige Aussagen / nie konkrete Auskünfte<br/>- reißt man sich den A**** für den Arbeitgeber auf, bekommt man noch eine vom BR hinten rein..","- mehr auf die Mitarbeiter eingehen / sich für die Mitarbeiter interessieren<br/>- Vorgesetzte entfernen und mit Führungskräften ersetzen (es gibt eine Handvoll am Standort, welche wirklich Führungskräfte sind!)<br/>- offen und ehrlich sein (Stichwort: Transparenz)<br/>- ehrliche Menschlichkeit und keine gespielte (glaubt mir FKs, man merkt es!)<br/><br/>Vielleicht schafft es ein anderer das zu implementieren, ich habe oft genug mein Mund aufgemacht und wurde vllt. auch deswegen nicht übernommen.<br/><br/>@Führungskräfte<br/>Hört euch die Sorgen der MA an, dann wisst Ihr woran Ihr arbeiten müsst!<br/>Auch wenn es für euch Arbeit ist, holt Ihr am Ende des Tages mehr aus dem Standort. Ich weiß, dafür brauch man Eier und muss sich Fehler eingestehen aber manchmal tun Veränderungen nicht weh, versucht es einfach mal!","Innerhalb der Abteilung gut. Allerdings sorgen die sogenannten \"Führungskräfte\" für alles andere nur nicht für eine gute Stimmung.","Noch lebt der DB Konzern von seiner Größe und den Imagefilmen. Wenn man hinter die Kulissen schaut, sollte man besser dem Unternehmen fern bleiben oder schnellstmöglich einen neuen Arbeitgeber suchen.","","Als Zeitarbeiter keine Chance auf interne / ausgeschriebene Stellen zu kommen. Nicht mal eine Antwort bekommt man auf Bewerbungen auf Stellen die offiziell ausgeschrieben wurden (es ist schon 9 Monate her, noch immer keine Rückmeldung). Wenn man die Person anruft, welche als Ansprechpartner hinterlegt ist, bekommt man einen Rüffel und soll bitte über die Personalzentrale in Berlin seine gewünschten Informationen einholen.<br/><br/>Jeder der relativ weit oben sitzt und fest angestellt ist, hat einen warmen Sitz und muss sich keine Sorgen machen. D.h. warum also Energie für andere aufwenden?!","Für meinen Bereich i.O.","Wie gesagt... persönliche Ebene gibt es nicht und es muss nur produziert werden. Dies merkt man auch an den Maschinen, welche immer nur dann repariert werden, wenn es zu spät ist. Auch nur notdürftig... das Öl läuft über den Boden und wird ständig mit Ölbindemitteln, Ölwannen oder Tüchern aufgesammelt..","Innerhalb der verschiedenen Gruppen definitiv vorhanden. Übergreifend (auf verschiedenen Ebenen) arbeitet jeder gegen jeden, zumindest wenn es immer weiter Richtung Produktionskennzahlen in seinen Bereichen geht.","Viele konnten machen was sie wollten, ob es das richtige ist um einen Standort voran zu bringen, wage ich zu bezweifeln...","Vorgesetztenverhalten ist das richtige Wort. Normalerweise sollte es Führungsverhalten hier heißen. Aber das gibt es in diesem Standort nicht!<br/><br/>Man soll nur produzieren und Zahlen / Output liefern. Verbesserungsideen werden gar nicht oder Monate / Jahre später umgesetzt. Menschlich ist es wohl das letzte Werk, wo man arbeiten möchte. Viele werden wie Vieh behandelt. Das fängt beim heuchlerischen \"Obersten des Werkes\" an und hört bei den Teamleitern auf.<br/><br/>Es gibt \"Lieblinge\" die alles machen dürfen und es gibt die \"normalen\" Arbeiter die am besten nicht mal Hallo zu einem Kollegen sagen dürfen. Apropos \"Hallo\", Danke und Bitte gibt es in dem Unternehmen von oben nach unten nicht. Tolle Vorgesetzte, nicht wahr?!","Drecksloch (obwohl aktuell sehr viel erneuert wird), Maschinen werden nur notdürftig geflickt und triefen aus allen Poren. Arbeitssicherheit ist nahezu gar nicht vorhanden, weil es den \"Führungskräften\" nicht interessiert... die Herren leben es selber kaum vor.<br/><br/>Ja, auch der \"Oberste des Werkes\" bekommt den Mund nicht auf, wenn 10 Mann ohne Sicherheitsschuhe und Helm vor seiner Nase durch die Produktion stiefeln.<br/><br/>Mehr muss ich denke ich dazu nicht sagen oder?! Kein Wunder warum man 3x mehr Arbeitsunfälle als das nächst schlechteste Produktionswerk der DB hat. Interessiert anscheinend keinen.<br/><br/>Am Ende bekommen es wieder die MA in der Produktion ab, da die Kennzahlen nicht stimmen. Egal ob Maschinenausfall, Unfall, fehlendes Material, fehlende Informationen etc. man watscht alles auf die MA ganz unten ab anstatt sich mal um die Ursachen zu kümmern..","Es fließen keine / kaum Informationen. Auf Nachfrage kommen genervte oder gar keine Reaktionen. Durch das neue Shopfloormanagement hat es sich etwas gebessert. Aber auch hier, \"Führungskräfte\" versuchen vieles zu vertuschen.","","Ich kann von Glück reden, dass ich in meinem Traumbereich der Prozessoptimierung arbeiten durfte. Hier konnte ich durch verschiedene Projekte sehr viel lernen. Danke dafür!<br/><br/>Leider nur für 2 Jahre, danach wurde ich abgesägt (ohne gescheite Begründung). Trotz guten bis sehr guten Leistungen (gem. Feedback und Arbeitszeugnis)."
"deutschebahn","contractor","Düsseldorf, Nordrhein-Westfalen","contractor","sales","Zeitarbeit im DB REGIO Konzern als KIN.",2.4,"2019-11-03T00:00:00+00:00","keine angabeKEINE ANGABE","zeitarbeiter werden ausgebeutetrichtig mieses gehalt","Zeitarbeiter genauso gut bezahlen wie die Stammbelegschaft, ansonsten will da keiner mehr arbeiten.","Zeitarbeiter werden gemobbt","","","","","","","","","","","Zeitarbeiter werden niedergemacht",""
